Identifier,Occurrence Date,Offense,Offense Classification,longitude,latitude
8d3ca21b,02/13/2015 05:00:00 PM,GRAND LARCENY,FELONY,-73.900682693,40.86262304
ab395e10,02/13/2015 05:15:00 PM,BURGLARY,FELONY,-73.998653376,40.663125798
b50c640b,02/13/2015 05:15:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.994399743,40.753464076
9c83c210,02/13/2015 05:30:00 PM,BURGLARY,FELONY,-73.972968783,40.598924758
12a9c545,02/13/2015 05:30:00 PM,GRAND LARCENY,FELONY,-73.949951295,40.627666019
fa77d873,02/13/2015 05:30:00 PM,GRAND LARCENY,FELONY,-73.974158412,40.64208689
3d56dc98,02/13/2015 05:30:00 PM,GRAND LARCENY,FELONY,-73.954199535,40.736690172
9f188be7,02/13/2015 05:30:00 PM,GRAND LARCENY,FELONY,-73.958579979,40.760233544
362f8155,02/13/2015 05:40:00 PM,ROBBERY,FELONY,-73.931915378,40.675122298
c618b065,02/13/2015 05:40:00 PM,GRAND LARCENY,FELONY,-73.989282176,40.750430768
d217945e,02/13/2015 05:40:00 PM,FELONY ASSAULT,FELONY,-73.944525154,40.793222127
b80837b2,02/13/2015 05:45:00 PM,BURGLARY,FELONY,-73.897272944,40.853614686
ef69a713,02/13/2015 05:45:00 PM,FELONY ASSAULT,FELONY,-73.967185687,40.796571143
d2098ea3,02/13/2015 05:45:00 PM,FELONY ASSAULT,FELONY,-73.967185687,40.796571143
f21edeb7,02/13/2015 05:50:00 PM,ROBBERY,FELONY,-73.950789433,40.800380481
8b207431,02/13/2015 06:00:00 PM,GRAND LARCENY,FELONY,-73.924104155,40.620345225
afc39d61,02/13/2015 06:00:00 PM,ROBBERY,FELONY,-73.892772227,40.631818207
b962ed71,02/13/2015 06:00:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.743482854,40.679915131
d12a781b,02/13/2015 06:00:00 PM,BURGLARY,FELONY,-73.968273486,40.757242104
55432600,02/13/2015 06:00:00 PM,BURGLARY,FELONY,-73.834767706,40.767099647
243ba3c6,02/13/2015 06:00:00 PM,GRAND LARCENY,FELONY,-73.816364555,40.815143113
cb0e12b6,02/13/2015 06:15:00 PM,GRAND LARCENY,FELONY,-73.896177665,40.846666852
bb922460,02/13/2015 06:25:00 PM,BURGLARY,FELONY,-73.961837361,40.764058097
cbeea477,02/13/2015 06:25:00 PM,GRAND LARCENY,FELONY,-73.933952075,40.853693664
de1abcf2,02/13/2015 07:10:00 PM,FELONY ASSAULT,FELONY,-73.888288803,40.867362781
5c58a669,02/13/2015 06:30:00 PM,GRAND LARCENY,FELONY,-74.101877882,40.575796238
bc3a0b10,02/13/2015 06:30:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.791977661,40.674504245
7d0e036e,02/13/2015 06:30:00 PM,ROBBERY,FELONY,-73.769361205,40.684394502
c54604a5,02/13/2015 06:30:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.754645473,40.695496899
fc325eb0,02/13/2015 06:30:00 PM,GRAND LARCENY,FELONY,-73.958816292,40.780865841
716883d5,02/13/2015 06:30:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.881977933,40.87039488
19a2bf8f,02/13/2015 06:40:00 PM,GRAND LARCENY,FELONY,-73.968415651,40.761921933
13ab1e25,02/13/2015 06:45:00 PM,ROBBERY,FELONY,-74.085822121,40.614329885
4695f884,02/13/2015 07:00:00 PM,BURGLARY,FELONY,-73.956863621,40.67374001
aea3c06,02/13/2015 07:00:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.805650333,40.704679531
45f4dae,02/13/2015 07:00:00 PM,GRAND LARCENY,FELONY,-73.989959434,40.734895538
87be9814,02/13/2015 07:00:00 PM,FELONY ASSAULT,FELONY,-73.711932603,40.736564064
696e9447,02/13/2015 07:00:00 PM,BURGLARY,FELONY,-73.999283316,40.741664533
26ddabcc,02/13/2015 07:00:00 PM,GRAND LARCENY,FELONY,-73.897693193,40.867108012
cf7ef707,02/13/2015 07:19:00 PM,BURGLARY,FELONY,-73.946216267,40.801012471
13f3db9f,02/13/2015 07:20:00 PM,GRAND LARCENY,FELONY,-73.932297815,40.795581553
8c92dfca,02/13/2015 07:20:00 PM,ROBBERY,FELONY,-73.863429995,40.868346087
b0630d91,02/13/2015 07:28:00 PM,ROBBERY,FELONY,-73.995962704,40.572797354
2f8cb230,02/13/2015 07:30:00 PM,GRAND LARCENY,FELONY,-73.893419544,40.564878621
7593e090,02/13/2015 07:30:00 PM,BURGLARY,FELONY,-73.975488837,40.590861102
2029ead0,02/13/2015 07:30:00 PM,GRAND LARCENY,FELONY,-73.891804861,40.744056547
e37a9542,02/13/2015 07:36:00 PM,FELONY ASSAULT,FELONY,-73.885027308,40.867527005
6791d13f,02/13/2015 07:39:00 PM,ROBBERY,FELONY,-73.994838989,40.720977198
f33542f6,02/13/2015 07:55:00 PM,FELONY ASSAULT,FELONY,-73.889297294,40.819726569
60d7e3de,02/13/2015 08:00:00 PM,GRAND LARCENY,FELONY,-73.986905649,40.612080255
4536ccbf,02/13/2015 08:00:00 PM,BURGLARY,FELONY,-73.719747994,40.731538464
dd699b60,02/13/2015 08:00:00 PM,FELONY ASSAULT,FELONY,-73.806567616,40.755236857
10177797,02/13/2015 08:00:00 PM,BURGLARY,FELONY,-73.90424377,40.83246995
a973a4bd,02/13/2015 08:10:00 PM,FELONY ASSAULT,FELONY,-73.784677067,40.596431562
d9d6fcc5,02/13/2015 08:30:00 PM,BURGLARY,FELONY,-73.973391305,40.595897343
e8a9c087,02/13/2015 08:30:00 PM,FELONY ASSAULT,FELONY,-74.16623324,40.634701431
a9eb28f3,02/13/2015 08:30:00 PM,BURGLARY,FELONY,-73.875644318,40.670667125
cf2edf7e,02/13/2015 08:30:00 PM,GRAND LARCENY,FELONY,-73.768380877,40.686355052
88824e39,02/13/2015 08:30:00 PM,GRAND LARCENY,FELONY,-73.924680728,40.757411239
45d494be,02/13/2015 08:30:00 PM,BURGLARY,FELONY,-73.876472041,40.82518926
52330e49,02/13/2015 08:30:00 PM,ROBBERY,FELONY,-73.856810251,40.888311205
2eeb2350,02/13/2015 08:48:00 PM,GRAND LARCENY,FELONY,-73.920985283,40.610717129
1cc16994,02/13/2015 08:54:00 PM,ROBBERY,FELONY,-73.914724479,40.828739873
82492a0c,02/13/2015 09:00:00 PM,GRAND LARCENY,FELONY,-73.956271658,40.707857283
723e3ed4,02/13/2015 09:00:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.73072723,40.712005417
3ad862e0,02/13/2015 09:00:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.851815786,40.789264657
4f5e1764,02/13/2015 09:15:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.733140152,40.694946749
