lsoa,rate_2014,rate_2015,rate_2016,rate_2017,rate_2018
E01000206,126.73034603328965,147.09957037807058,155.6767581902694,158.1244459933777,142.6396089652204
E01000207,119.017226933662,135.39153654108117,146.1022056247153,149.3526201338773,142.0268180966
E01000208,136.03420190090992,159.5473648402327,162.90978940722925,169.48365309863925,158.44720179576672
E01000209,111.96726104344518,108.83371497184922,122.01680491739212,123.61661936994392,105.27768192197725
E01000210,129.98618194811826,154.8243334680278,163.66808362853072,167.14516152972772,164.4215511837425
E01000211,115.8436761766974,114.35758377944299,134.97975876365112,135.0431812220247,115.91739403391878
E01000212,118.92549221691606,118.112023909856,130.8891995973764,134.37144659648405,115.38619116935025
E01000213,120.84188320735518,136.52126071906974,146.50202514432834,150.62033188052328,144.89486604790042
E01000214,136.43974438057373,152.73108141819068,168.19758921553895,164.32297338190264,145.10146310150077
E01000215,166.90517707857694,181.5666176621581,207.01475465740793,215.17124270042066,195.4585923427874
E01000216,125.03544452796366,132.17603362709352,150.57269074854565,156.91932447999034,139.25738456604364
E01000217,120.62334370730682,123.61728663610103,143.9121514086332,150.87560030111146,130.5404847444116
E01000218,169.17445961184558,189.53835220047648,211.00484165602106,221.96393305675278,205.83488208236074
E01000219,181.89513512231062,199.38280897225948,218.624492878641,227.1327360650466,209.6622140927046
E01000220,177.10134986850633,194.48524951540617,217.8702768119301,226.233015727532,208.29999863494172
E01000221,233.36269762928657,217.66147017587164,203.51878372439717,208.04255634322894,200.71613721347708
E01000222,230.12525230552328,214.59750746917712,199.28707441818295,204.7110603688819,195.9452846438761
E01000223,230.08168712926104,214.90302932499034,196.95007004734444,199.50728708563014,187.18565246314424
E01000224,233.38189267644495,218.11940480113324,199.85081031950153,206.7651534659973,197.80929446278105
E01000225,137.15119549336282,138.53811469102286,156.34439266155778,163.05613941196646,144.13048975420136
E01000226,181.95560633348956,183.08107133086753,188.6536245068966,174.27691159449762,167.90590532101606
E01000227,165.9164826810359,173.99186655804434,173.63919614961532,178.73047564493777,183.28932038431597
E01000228,155.08607900904593,158.68256688796006,127.52271529544701,117.6204666145052,122.70112980001926
E01000229,170.1087523357915,189.02128223725177,191.25461970710342,195.43755745702003,299.9077320034719
E01000230,173.0538253917209,194.92525057867917,199.88619012023932,209.7643176351323,281.2632128988638
E01000231,155.60212733147924,166.60372690502632,139.63940126226126,130.3641383298423,142.94732042306896
E01000232,162.53083278639247,171.29249886931058,161.82449103004424,163.21877069728913,170.5490110946615
E01000233,160.5964506687927,163.63332998449093,150.47198999779522,149.9853178899902,149.562628389598
E01000234,156.2415142236535,159.17201783189572,134.09670955036881,129.1147706512781,131.9053900187946
E01000235,183.48727432366562,186.7102592799784,177.92142750498175,171.85974976771098,166.7409648206389
E01000236,169.56061703035945,154.2745698332467,164.55595195643127,174.3663453149929,173.81980719537768
E01000237,145.3069998955162,137.5570977186725,141.7881022536079,159.0538713190085,159.53261695724532
E01000238,175.34029083500977,131.25037955567709,138.42111205977983,148.65053320400418,152.0731555280461
E01000239,151.72814116387318,151.97228273116312,155.56980342101363,158.4948603039434,153.603211262518
E01000240,148.8486168061494,155.83776910374422,158.03118753761777,156.18305404793819,149.81912567992345
E01000241,133.2357926542874,139.41533223730173,153.22377617957096,148.1777291062761,141.50695315531095
E01000242,161.09941058656298,142.0714932072912,149.5755434026343,148.56540001457648,147.94899050922368
E01000243,135.81067188040967,130.7192428331248,141.088005008567,147.18899276456602,142.94192118647914
E01000244,115.14831438236887,120.55029968005852,130.20155038687963,133.79882390859402,133.89022080463238
E01000245,161.31222577229212,132.69950648328958,134.37468200609143,155.44393388354317,155.24019215603238
E01000246,241.03343287057447,252.90113472303818,246.78012869249187,273.4276167469184,220.5539724641116
E01000247,229.27721720922963,253.93907241833935,248.40360262917756,295.97391499371554,214.03436862412033
E01000248,267.09652783597846,290.13174319827186,271.9954871784014,252.10145310182634,254.11651214483874
E01000249,273.98722118098925,299.871474101619,280.8487207449838,254.48767287388827,255.43625379878267
E01000250,276.5119433495022,310.3323602822318,290.19641217361334,268.09661089202393,255.05613664355823
E01000251,229.5129173602128,242.93516711709717,242.43145086871445,304.9900814630889,205.04146028756458
E01000252,230.09815387292656,241.8146836993394,239.20578107942836,279.78233174134834,201.0075024942443
E01000253,266.0241551955982,283.3588067589508,267.57611086412567,242.1882923609498,244.64797642201333
E01000254,270.42168688837603,300.41723337439385,281.06511617728216,259.9154625773085,256.552266493671
E01000255,177.40178297667737,199.4883615393993,156.34219549674376,168.81772026513258,201.50425181046452
E01000256,163.29956269996197,174.88512231717633,134.62678577351943,129.06475005287427,144.85877088317406
E01000257,187.63683930608542,219.98208681363207,177.91884058401945,253.0813536686902,303.18543957256117
E01000258,150.36379983655291,158.49462219825256,119.77490781460942,108.84426707962842,114.79434625929864
E01000259,188.6782860730875,216.67687941718137,173.90948689356006,224.12663975469314,274.87164151207935
E01000260,161.1054144684176,170.05047854561715,137.74972855291378,134.2345731979348,138.2107815240104
E01000261,153.2706651201419,161.05649706438666,122.50410988668972,113.11688370129652,119.59962150651978
